Query_Name	Query_Start	Query_End	Strand	Target_Name	Target_Start	Target_End	Num_ResidueMatches	Aln_BlockLength	Prop_Match	Target_Middle	Query_Middle	Dist_Middles	Query_Length	Target_Length	QueryOverlap_Genes	TargetOverlap_Genes	QueryOverlap_TE	TargetOverlap_TE	Query_Contains_Esx	Query_Contains_PEPPE	Query_Contains_REP13E12	Query_NoOverlap_Wi_PEPPE_Esx_13E12_Genes	SeqID	Dist	QueryCoords	TargetCoords	QueryToTarget_ID	Query_Cluster	Query_Cluster_Start	Query_Cluster_End	Target_Cluster	Target_Cluster_Start	Target_Cluster_End
NC_000962.3	309898	310101	-	NC_000962.3	1814894	1815098	188	204	0.9215686274509803	1814996.0	309999.5	1504996.5	203	204	Rv0257		0	0	False	False	False	True	92.15686274509804	1504996.5	NC_000962.3:309898-310101	NC_000962.3:1814894-1815098	NC_000962.3:309898-310101;NC_000962.3:1814894-1815098	8	309898	310101	74	1814852	1815128
NC_000962.3	309900	310101	-	NC_000962.3	2637299	2637501	187	202	0.9257425742574258	2637400.0	310000.5	2327399.5	201	202	Rv0257		0	0	False	False	False	True	92.57425742574257	2084132.5	NC_000962.3:309900-310101	NC_000962.3:2637299-2637501	NC_000962.3:309900-310101;NC_000962.3:2637299-2637501	8	309898	310101	113	2637068	2637535
NC_000962.3	332698	336275	-	NC_000962.3	838485	841665	2601	3723	0.6986301369863014	840075.0	334486.5	505588.5	3577	3180	vapC25,vapB25,PE_PGRS3	PE_PGRS10,vapB31,vapC31	0	0	False	True	False	False	69.86301369863014	505588.5	NC_000962.3:332698-336275	NC_000962.3:838485-841665	NC_000962.3:332698-336275;NC_000962.3:838485-841665	9	332698	336379	31	838485	841665
NC_000962.3	333510	336379	+	NC_000962.3	336565	339142	2150	2933	0.733037845209683	337853.5	334944.5	2909.0	2869	2577	PE_PGRS3	PE_PGRS4	0	0	False	True	False	False	73.30378452096829	2909.0	NC_000962.3:333510-336379	NC_000962.3:336565-339142	NC_000962.3:333510-336379;NC_000962.3:336565-339142	9	332698	336379	10	336565	339142
NC_000962.3	333603	336275	-	NC_000962.3	838485	840727	1806	2771	0.6517502706604114	839606.0	334939.0	504667.0	2672	2242	PE_PGRS3	PE_PGRS10	0	0	False	True	False	False	65.17502706604114	504667.0	NC_000962.3:333603-336275	NC_000962.3:838485-840727	NC_000962.3:333603-336275;NC_000962.3:838485-840727	9	332698	336379	31	838485	841665
NC_000962.3	334966	335983	-	NC_000962.3	839656	840754	786	1165	0.6746781115879829	840205.0	335474.5	504730.5	1017	1098	PE_PGRS3	PE_PGRS10	0	0	False	True	False	False	67.46781115879828	504730.5	NC_000962.3:334966-335983	NC_000962.3:839656-840754	NC_000962.3:334966-335983;NC_000962.3:839656-840754	9	332698	336379	31	838485	841665
NC_000962.3	336565	339038	-	NC_000962.3	838485	840847	1736	2732	0.6354319180087847	839666.0	337801.5	501864.5	2473	2362	PE_PGRS4	PE_PGRS10	0	0	False	True	False	False	63.543191800878475	501864.5	NC_000962.3:336565-339038	NC_000962.3:838485-840847	NC_000962.3:336565-339038;NC_000962.3:838485-840847	10	336565	339142	31	838485	841665
NC_000962.3	336565	339142	+	NC_000962.3	333510	336379	2150	2933	0.733037845209683	334944.5	337853.5	2909.0	2577	2869	PE_PGRS4	PE_PGRS3	0	0	False	True	False	False	73.30378452096829	2909.0	NC_000962.3:336565-339142	NC_000962.3:333510-336379	NC_000962.3:336565-339142;NC_000962.3:333510-336379	10	336565	339142	9	332698	336379
NC_000962.3	339372	339909	-	NC_000962.3	308996	309532	426	538	0.79182156133829	309264.0	339640.5	30376.5	537	536	PPE3	PPE2	0	0	False	True	False	False	79.182156133829	30376.5	NC_000962.3:339372-339909	NC_000962.3:308996-309532	NC_000962.3:339372-339909;NC_000962.3:308996-309532	11	339372	339909	7	308996	309532
NC_000962.3	361334	362020	-	NC_000962.3	1573170	1573856	535	706	0.7577903682719547	1573513.0	361677.0	1211836.0	686	686	PE_PGRS5	PE_PGRS25	0	0	False	True	False	False	75.77903682719547	1211836.0	NC_000962.3:361334-362020	NC_000962.3:1573170-1573856	NC_000962.3:361334-362020;NC_000962.3:1573170-1573856	12	361334	362020	61	1573170	1573856
NC_000962.3	366432	368602	+	NC_000962.3	373173	375119	1516	2252	0.6731793960923623	374146.0	367517.0	6629.0	2170	1946	PPE5	PPE6	0	0	False	True	False	False	67.31793960923623	6629.0	NC_000962.3:366432-368602	NC_000962.3:373173-375119	NC_000962.3:366432-368602;NC_000962.3:373173-375119	13	366432	368602	14	373173	375119
NC_000962.3	373173	375119	+	NC_000962.3	366432	368602	1516	2253	0.6728806036395917	367517.0	374146.0	6629.0	1946	2170	PPE6	PPE5	0	0	False	True	False	False	67.28806036395916	6629.0	NC_000962.3:373173-375119	NC_000962.3:366432-368602	NC_000962.3:373173-375119;NC_000962.3:366432-368602	14	373173	375119	13	366432	368602
NC_000962.3	400151	401701	+	NC_000962.3	606510	608060	1549	1550	0.9993548387096775	607285.0	400926.0	206359.0	1550	1550	Rv0336	Rv0515,Rv0516c	0	0	False	False	False	True	99.93548387096774	206359.0	NC_000962.3:400151-401701	NC_000962.3:606510-608060	NC_000962.3:400151-401701;NC_000962.3:606510-608060	15	400151	401701	24	606510	608060
NC_000962.3	424843	425566	+	NC_000962.3	433399	434095	554	726	0.7630853994490359	433747.0	425204.5	8542.5	723	696	PPE8	PPE8	0	0	False	True	False	False	76.30853994490359	8542.5	NC_000962.3:424843-425566	NC_000962.3:433399-434095	NC_000962.3:424843-425566;NC_000962.3:433399-434095	16	424843	425566	17	433399	434095
NC_000962.3	433399	434095	+	NC_000962.3	424843	425566	554	726	0.7630853994490359	425204.5	433747.0	8542.5	696	723	PPE8	PPE8	0	0	False	True	False	False	76.30853994490359	8542.5	NC_000962.3:433399-434095	NC_000962.3:424843-425566	NC_000962.3:433399-434095;NC_000962.3:424843-425566	17	433399	434095	16	424843	425566
NC_000962.3	473743	474099	+	NC_000962.3	475809	476177	337	369	0.9132791327913279	475993.0	473921.0	2072.0	356	368	Rv0393	Rv0397	0	0	False	False	True	False	91.32791327913279	2072.0	NC_000962.3:473743-474099	NC_000962.3:475809-476177	NC_000962.3:473743-474099;NC_000962.3:475809-476177	18	473743	474099	19	475809	476177
NC_000962.3	475809	476177	+	NC_000962.3	473743	474099	337	369	0.9132791327913279	473921.0	475993.0	2072.0	368	356	Rv0397	Rv0393	0	0	False	False	False	True	91.32791327913279	2072.0	NC_000962.3:475809-476177	NC_000962.3:473743-474099	NC_000962.3:475809-476177;NC_000962.3:473743-474099	19	475809	476177	18	473743	474099
NC_000962.3	562306	562394	+	NC_000962.3	1879290	1879378	84	88	0.9545454545454546	1879334.0	562350.0	1316984.0	88	88	Rv0471c	pks7	0	0	False	False	False	True	95.45454545454545	1316984.0	NC_000962.3:562306-562394	NC_000962.3:1879290-1879378	NC_000962.3:562306-562394;NC_000962.3:1879290-1879378	20	562306	562394	76	1879290	1879378
NC_000962.3	577285	577380	+	NC_000962.3	577401	577496	95	95	1.0	577448.5	577332.5	116.0	95	95	Rv0487		0	0	False	False	False	True	100.0	116.0	NC_000962.3:577285-577380	NC_000962.3:577401-577496	NC_000962.3:577285-577380;NC_000962.3:577401-577496	21	577285	577380	21	577401	577496
NC_000962.3	580576	580660	+	NC_000962.3	580730	580814	84	84	1.0	580772.0	580618.0	154.0	84	84	senX3	regX3	0	0	False	False	False	True	100.0	154.0	NC_000962.3:580576-580660	NC_000962.3:580730-580814	NC_000962.3:580576-580660;NC_000962.3:580730-580814	22	580576	580660	23	580730	580814
NC_000962.3	580730	580814	+	NC_000962.3	580576	580660	84	84	1.0	580618.0	580772.0	154.0	84	84	regX3	senX3	0	0	False	False	False	True	100.0	154.0	NC_000962.3:580730-580814	NC_000962.3:580576-580660	NC_000962.3:580730-580814;NC_000962.3:580576-580660	23	580730	580814	22	580576	580660
NC_000962.3	606510	608060	+	NC_000962.3	400151	401701	1549	1550	0.9993548387096775	400926.0	607285.0	206359.0	1550	1550	Rv0515,Rv0516c	Rv0336	0	0	False	False	False	True	99.93548387096774	206359.0	NC_000962.3:606510-608060	NC_000962.3:400151-401701	NC_000962.3:606510-608060;NC_000962.3:400151-401701	24	606510	608060	15	400151	401701
NC_000962.3	642713	642814	+	NC_000962.3	3319469	3319571	97	102	0.9509803921568627	3319520.0	642763.5	2676756.5	101	102	fadD8		0	0	False	False	False	True	95.09803921568627	1734775.5	NC_000962.3:642713-642814	NC_000962.3:3319469-3319571	NC_000962.3:642713-642814;NC_000962.3:3319469-3319571	25	642713	642814	150	3319468	3319662
NC_000962.3	685218	692589	+	NC_000962.3	196950	204585	5568	7851	0.7092090179594956	200767.5	688903.5	488136.0	7371	7635	yrbE2A,yrbE2B,mce2A,mce2B,Rv0590A,mce2C,mce2D,lprL	yrbE1A,yrbE1B,mce1A,mce1B,mce1C,mce1D,lprK	0	0	False	False	False	True	70.92090179594956	488136.0	NC_000962.3:685218-692589	NC_000962.3:196950-204585	NC_000962.3:685218-692589;NC_000962.3:196950-204585	26	685218	692589	5	196950	204585
NC_000962.3	701363	702728	-	NC_000962.3	3100868	3102228	1118	1378	0.8113207547169812	3101548.0	702045.5	2399502.5	1365	1360	Rv0605,Rv0606	Rv2791c,Rv2792c	1	1	False	False	False	True	81.13207547169812	2012029.5	NC_000962.3:701363-702728	NC_000962.3:3100868-3102228	NC_000962.3:701363-702728;NC_000962.3:3100868-3102228	27	701363	702728	135	3100173	3102233
NC_000962.3	718763	719929	+	NC_000962.3	972557	973723	991	1173	0.8448422847399829	973140.0	719346.0	253794.0	1166	1166	Rv0628c	Rv0874c	0	0	False	False	False	True	84.48422847399829	253794.0	NC_000962.3:718763-719929	NC_000962.3:972557-973723	NC_000962.3:718763-719929;NC_000962.3:972557-973723	28	718763	719929	38	972557	973723
NC_000962.3	832044	832356	+	NC_000962.3	842019	842331	301	312	0.9647435897435898	842175.0	832200.0	9975.0	312	312	Rv0740	Rv0750	0	0	False	False	False	True	96.47435897435898	9975.0	NC_000962.3:832044-832356	NC_000962.3:842019-842331	NC_000962.3:832044-832356;NC_000962.3:842019-842331	29	832044	832356	32	842019	842331
NC_000962.3	835775	836519	-	NC_000962.3	1633838	1634552	542	774	0.7002583979328165	1634195.0	836147.0	798048.0	744	714	PE_PGRS9	PE_PGRS27	0	0	False	True	False	False	70.02583979328165	798048.0	NC_000962.3:835775-836519	NC_000962.3:1633838-1634552	NC_000962.3:835775-836519;NC_000962.3:1633838-1634552	30	835775	836519	63	1633310	1634790
NC_000962.3	836147	836519	-	NC_000962.3	1637440	1637794	283	391	0.7237851662404092	1637617.0	836333.0	801284.0	372	354	PE_PGRS9	PE_PGRS28	0	0	False	True	False	False	72.37851662404093	801284.0	NC_000962.3:836147-836519	NC_000962.3:1637440-1637794	NC_000962.3:836147-836519;NC_000962.3:1637440-1637794	30	835775	836519	64	1636705	1639561
NC_000962.3	838485	840847	-	NC_000962.3	336565	339038	1734	2732	0.6346998535871157	337801.5	839666.0	501864.5	2362	2473	PE_PGRS10	PE_PGRS4	0	0	False	True	False	False	63.46998535871157	501864.5	NC_000962.3:838485-840847	NC_000962.3:336565-339038	NC_000962.3:838485-840847;NC_000962.3:336565-339038	31	838485	841665	10	336565	339142
NC_000962.3	838485	841665	-	NC_000962.3	332698	336275	2599	3725	0.6977181208053691	334486.5	840075.0	505588.5	3180	3577	PE_PGRS10,vapB31,vapC31	vapC25,vapB25,PE_PGRS3	0	0	False	True	False	False	69.7718120805369	505588.5	NC_000962.3:838485-841665	NC_000962.3:332698-336275	NC_000962.3:838485-841665;NC_000962.3:332698-336275	31	838485	841665	9	332698	336379
NC_000962.3	838571	840652	+	NC_000962.3	925071	927514	1599	2541	0.6292798110979929	926292.5	839611.5	86681.0	2081	2443	PE_PGRS10	PE_PGRS12,PE_PGRS13	0	0	False	True	False	False	62.92798110979929	86681.0	NC_000962.3:838571-840652	NC_000962.3:925071-927514	NC_000962.3:838571-840652;NC_000962.3:925071-927514	31	838485	841665	36	925071	927514
NC_000962.3	838915	840652	+	NC_000962.3	925780	927514	1315	1839	0.7150625339858618	926647.0	839783.5	86863.5	1737	1734	PE_PGRS10	PE_PGRS13	0	0	False	True	False	False	71.50625339858618	86863.5	NC_000962.3:838915-840652	NC_000962.3:925780-927514	NC_000962.3:838915-840652;NC_000962.3:925780-927514	31	838485	841665	36	925071	927514
NC_000962.3	839158	839900	+	NC_000962.3	3935705	3936438	523	818	0.6393643031784841	3936071.5	839529.0	3096542.5	742	733	PE_PGRS10	PE_PGRS54	0	0	False	True	False	False	63.93643031784841	1314989.5	NC_000962.3:839158-839900	NC_000962.3:3935705-3936438	NC_000962.3:839158-839900;NC_000962.3:3935705-3936438	31	838485	841665	180	3930988	3936438
NC_000962.3	839167	839513	+	NC_000962.3	3949543	3949970	283	432	0.6550925925925926	3949756.5	839340.0	3110416.5	346	427	PE_PGRS10	PE_PGRS57	0	0	False	True	False	False	65.50925925925925	1301115.5	NC_000962.3:839167-839513	NC_000962.3:3949543-3949970	NC_000962.3:839167-839513;NC_000962.3:3949543-3949970	31	838485	841665	182	3945777	3951329
NC_000962.3	839656	840747	-	NC_000962.3	334964	335983	787	1159	0.6790336496980155	335473.5	840201.5	504728.0	1091	1019	PE_PGRS10	PE_PGRS3	0	0	False	True	False	False	67.90336496980154	504728.0	NC_000962.3:839656-840747	NC_000962.3:334964-335983	NC_000962.3:839656-840747;NC_000962.3:334964-335983	31	838485	841665	9	332698	336379
NC_000962.3	839696	840277	+	NC_000962.3	3802143	3802720	431	646	0.6671826625386997	3802431.5	839986.5	2962445.0	581	577	PE_PGRS10	PE_PGRS52	0	0	False	True	False	False	66.71826625386997	1449087.0	NC_000962.3:839696-840277	NC_000962.3:3802143-3802720	NC_000962.3:839696-840277;NC_000962.3:3802143-3802720	31	838485	841665	173	3802143	3802720
NC_000962.3	842019	842331	+	NC_000962.3	832044	832356	301	312	0.9647435897435898	832200.0	842175.0	9975.0	312	312	Rv0750	Rv0740	0	0	False	False	False	True	96.47435897435898	9975.0	NC_000962.3:842019-842331	NC_000962.3:832044-832356	NC_000962.3:842019-842331;NC_000962.3:832044-832356	32	842019	842331	29	832044	832356
NC_000962.3	889019	890375	+	NC_000962.3	2550012	2551368	1356	1356	1.0	2550690.0	889697.0	1660993.0	1356	1356	Rv0795,Rv0796	Rv2277c,Rv2278,Rv2279	1	1	False	False	False	True	100.0	1660993.0	NC_000962.3:889019-890375	NC_000962.3:2550012-2551368	NC_000962.3:889019-890375;NC_000962.3:2550012-2551368	33	889019	891461	110	2550005	2551370
NC_000962.3	889019	890375	-	NC_000962.3	2784614	2785970	1356	1356	1.0	2785292.0	889697.0	1895595.0	1356	1356	Rv0795,Rv0796	Rv2479c,Rv2480c	1	1	False	False	False	True	100.0	1895595.0	NC_000962.3:889019-890375	NC_000962.3:2784614-2785970	NC_000962.3:889019-890375;NC_000962.3:2784614-2785970	33	889019	891461	118	2784600	2785977
NC_000962.3	889019	890375	+	NC_000962.3	2972107	2973463	1356	1356	1.0	2972785.0	889697.0	2083088.0	1356	1356	Rv0795,Rv0796	Rv2648,Rv2649	1	1	False	False	False	True	100.0	2083088.0	NC_000962.3:889019-890375	NC_000962.3:2972107-2973463	NC_000962.3:889019-890375;NC_000962.3:2972107-2973463	33	889019	891461	127	2972104	2973463
NC_000962.3	889020	890375	-	NC_000962.3	1987702	1989057	1355	1355	1.0	1988379.5	889697.5	1098682.0	1355	1355	Rv0795,Rv0796	Rv1756c,Rv1757c,cut1	1	1	False	False	False	True	100.0	1098682.0	NC_000962.3:889020-890375	NC_000962.3:1987702-1989057	NC_000962.3:889020-890375;NC_000962.3:1987702-1989057	33	889019	891461	82	1987686	1989059
NC_000962.3	889020	890375	+	NC_000962.3	2365413	2366768	1355	1355	1.0	2366090.5	889697.5	1476393.0	1355	1355	Rv0795,Rv0796	Rv2105,Rv2106	1	1	False	False	False	True	100.0	1476393.0	NC_000962.3:889020-890375	NC_000962.3:2365413-2366768	NC_000962.3:889020-890375;NC_000962.3:2365413-2366768	33	889019	891461	103	2365403	2366771
NC_000962.3	889020	890375	-	NC_000962.3	2430116	2431471	1355	1355	1.0	2430793.5	889697.5	1541096.0	1355	1355	Rv0795,Rv0796	Rv2167c,Rv2168c	1	1	False	False	False	True	100.0	1541096.0	NC_000962.3:889020-890375	NC_000962.3:2430116-2431471	NC_000962.3:889020-890375;NC_000962.3:2430116-2431471	33	889019	891461	104	2430113	2431474
NC_000962.3	889020	890375	+	NC_000962.3	2635576	2636931	1355	1355	1.0	2636253.5	889697.5	1746556.0	1355	1355	Rv0795,Rv0796	PPE39,Rv2354,Rv2355	1	1	False	False	False	True	100.0	1746556.0	NC_000962.3:889020-890375	NC_000962.3:2635576-2636931	NC_000962.3:889020-890375;NC_000962.3:2635576-2636931	33	889019	891461	112	2634780	2637028
NC_000962.3	889020	890375	-	NC_000962.3	3120523	3121878	1355	1355	1.0	3121200.5	889697.5	2231503.0	1355	1355	Rv0795,Rv0796	Rv2814c,Rv2815c	1	1	False	False	False	True	100.0	2180029.0	NC_000962.3:889020-890375	NC_000962.3:3120523-3121878	NC_000962.3:889020-890375;NC_000962.3:3120523-3121878	33	889019	891461	137	3119183	3123577
NC_000962.3	889020	890375	+	NC_000962.3	3551229	3552584	1355	1355	1.0	3551906.5	889697.5	2662209.0	1355	1355	Rv0795,Rv0796	Rv3184,Rv3185	1	1	False	False	False	True	100.0	1749323.0	NC_000962.3:889020-890375	NC_000962.3:3551229-3552584	NC_000962.3:889020-890375;NC_000962.3:3551229-3552584	33	889019	891461	158	3551212	3552587
NC_000962.3	889020	890375	+	NC_000962.3	3552712	3554067	1355	1355	1.0	3553389.5	889697.5	2663692.0	1355	1355	Rv0795,Rv0796	Rv3186,Rv3187	1	1	False	False	False	True	100.0	1747840.0	NC_000962.3:889020-890375	NC_000962.3:3552712-3554067	NC_000962.3:889020-890375;NC_000962.3:3552712-3554067	33	889019	891461	159	3552704	3554070
NC_000962.3	889020	890375	-	NC_000962.3	3795057	3796412	1355	1355	1.0	3795734.5	889697.5	2906037.0	1355	1355	Rv0795,Rv0796	Rv3380c,Rv3381c	1	1	False	False	False	True	100.0	1505495.0	NC_000962.3:889020-890375	NC_000962.3:3795057-3796412	NC_000962.3:889020-890375;NC_000962.3:3795057-3796412	33	889019	891461	172	3795041	3796426
NC_000962.3	889020	890376	-	NC_000962.3	1541950	1543306	1356	1356	1.0	1542628.0	889698.0	652930.0	1356	1356	Rv0795,Rv0796	Rv1369c,Rv1370c	1	1	False	False	False	True	100.0	652930.0	NC_000962.3:889020-890376	NC_000962.3:1541950-1543306	NC_000962.3:889020-890376;NC_000962.3:1541950-1543306	33	889019	891461	60	1541948	1543318
NC_000962.3	889020	890376	+	NC_000962.3	1996100	1997456	1356	1356	1.0	1996778.0	889698.0	1107080.0	1356	1356	Rv0795,Rv0796	Rv1763,Rv1764,Rv1765c	1	1	False	False	False	True	100.0	1107080.0	NC_000962.3:889020-890376	NC_000962.3:1996100-1997456	NC_000962.3:889020-890376;NC_000962.3:1996100-1997456	33	889019	891461	83	1996098	1998612
NC_000962.3	889020	890377	+	NC_000962.3	3890778	3892135	1357	1357	1.0	3891456.5	889698.5	3001758.0	1357	1357	Rv0795,Rv0796	Rv3474,Rv3475	1	1	False	False	False	True	100.0	1409774.0	NC_000962.3:889020-890377	NC_000962.3:3890778-3892135	NC_000962.3:889020-890377;NC_000962.3:3890778-3892135	33	889019	891461	178	3890771	3892140
NC_000962.3	889020	891461	+	NC_000962.3	3710381	3712822	2440	2441	0.9995903318312167	3711601.5	890240.5	2821361.0	2441	2441	Rv0795,Rv0796,Rv0797	Rv3325,Rv3326,Rv3327	1	1	False	False	False	True	99.95903318312168	1590171.0	NC_000962.3:889020-891461	NC_000962.3:3710381-3712822	NC_000962.3:889020-891461;NC_000962.3:3710381-3712822	33	889019	891461	162	3710379	3712822
NC_000962.3	908180	909346	-	NC_000962.3	3483945	3485111	1166	1166	1.0	3484528.0	908763.0	2575765.0	1166	1166	sseC2,cysA2	cysA3,sseC1	0	0	False	False	False	True	100.0	1835767.0	NC_000962.3:908180-909346	NC_000962.3:3483945-3485111	NC_000962.3:908180-909346;NC_000962.3:3483945-3485111	34	908180	909346	156	3483945	3485111
NC_000962.3	921579	921892	-	NC_000962.3	3100174	3100487	279	317	0.8801261829652997	3100330.5	921735.5	2178595.0	313	313	Rv0828c,Rv0829	Rv2791c	1	1	False	False	False	True	88.01261829652996	2178595.0	NC_000962.3:921579-921892	NC_000962.3:3100174-3100487	NC_000962.3:921579-921892;NC_000962.3:3100174-3100487	35	921579	921893	135	3100173	3102233
NC_000962.3	921579	921892	-	NC_000962.3	3333757	3334070	281	316	0.8892405063291139	3333913.5	921735.5	2412178.0	313	313	Rv0828c,Rv0829	thiL,Rv2978c	1	1	False	False	False	True	88.92405063291139	1999354.0	NC_000962.3:921579-921892	NC_000962.3:3333757-3334070	NC_000962.3:921579-921892;NC_000962.3:3333757-3334070	35	921579	921893	151	3333757	3335814
NC_000962.3	921579	921893	-	NC_000962.3	3194137	3194451	310	314	0.9872611464968153	3194294.0	921736.0	2272558.0	314	314	Rv0828c,Rv0829	Rv2884,Rv2885c	1	1	False	False	False	True	98.72611464968153	2138974.0	NC_000962.3:921579-921893	NC_000962.3:3194137-3194451	NC_000962.3:921579-921893;NC_000962.3:3194137-3194451	35	921579	921893	144	3194137	3196202
NC_000962.3	925071	927514	+	NC_000962.3	838571	840652	1599	2541	0.6292798110979929	839611.5	926292.5	86681.0	2443	2081	PE_PGRS12,PE_PGRS13	PE_PGRS10	0	0	False	True	False	False	62.92798110979929	86681.0	NC_000962.3:925071-927514	NC_000962.3:838571-840652	NC_000962.3:925071-927514;NC_000962.3:838571-840652	36	925071	927514	31	838485	841665
NC_000962.3	925082	925833	-	NC_000962.3	1489087	1489833	564	780	0.7230769230769231	1489460.0	925457.5	564002.5	751	746	PE_PGRS12,PE_PGRS13	PE_PGRS24	0	0	False	True	False	False	72.3076923076923	564002.5	NC_000962.3:925082-925833	NC_000962.3:1489087-1489833	NC_000962.3:925082-925833;NC_000962.3:1489087-1489833	36	925071	927514	58	1489087	1489833
NC_000962.3	925780	927514	+	NC_000962.3	838915	840652	1315	1839	0.7150625339858618	839783.5	926647.0	86863.5	1734	1737	PE_PGRS13	PE_PGRS10	0	0	False	True	False	False	71.50625339858618	86863.5	NC_000962.3:925780-927514	NC_000962.3:838915-840652	NC_000962.3:925780-927514;NC_000962.3:838915-840652	36	925071	927514	31	838485	841665
NC_000962.3	960166	960217	+	NC_000962.3	960272	960323	51	51	1.0	960297.5	960191.5	106.0	51	51			0	0	False	False	False	True	100.0	106.0	NC_000962.3:960166-960217	NC_000962.3:960272-960323	NC_000962.3:960166-960217;NC_000962.3:960272-960323	37	960166	960326	37	960166	960326
NC_000962.3	960167	960323	-	NC_000962.3	2996010	2996160	146	156	0.9358974358974359	2996085.0	960245.0	2035840.0	156	150		Rv2680	0	0	False	False	False	True	93.58974358974359	2035840.0	NC_000962.3:960167-960323	NC_000962.3:2996010-2996160	NC_000962.3:960167-960323;NC_000962.3:2996010-2996160	37	960166	960326	130	2996010	2996160
