seqname	source	feature	start_1based	end_1based	score	strand	Parent_Node	Child_Node	neg_log_likelihood	snp_count	taxa_List	start_0based	CenterOfRegion	Lineage	Overlap_Genes	Overlap_Gene_RvIDs	Contains_Esx	Contains_PEPPE	Contains_REP13E12	NoOverlap_Wi_PEPPE_Esx_13E12_Genes	EventID	EventLen	HmAln_Count	HmAln_Ovrlap	HHR_Count	HHR_Ovrlap
NC_000962.3	GUBBINS	CDS	103879	104283	0.000	.	Node_48	Node_47	1508.318418	5	['mada_126', 'mada_120']	103878	104080.5	lineage4	Rv0094c	Rv0094c	False	False	True	False	Event_012	405	2	1	1	1
NC_000962.3	GUBBINS	CDS	103893	104034	0.000	.	Node_148	Node_147	2463.174204	6	['R27252', 'R23887', 'N0153', 'N0072', 'mada_1-10', 'mada_118', 'mada_1-36', 'mada_117', 'mada_1-39', 'mada_107', 'mada_2-46', 'mada_1-44', 'mada_1-1', 'mada_1-51', 'mada_122']	103892	103963.0	lineage1	Rv0094c	Rv0094c	False	False	True	False	Event_013	142	2	1	1	1
NC_000962.3	GUBBINS	CDS	103992	104478	0.000	.	Node_143	mada_118	1287.558839	7	['mada_118']	103991	104234.5	lineage1	Rv0094c	Rv0094c	False	False	True	False	Event_014	487	2	1	1	1
NC_000962.3	GUBBINS	CDS	103992	104478	0.000	.	Node_145	N0072	1377.850951	6	['N0072']	103991	104234.5	lineage1	Rv0094c	Rv0094c	False	False	True	False	Event_015	487	2	1	1	1
NC_000962.3	GUBBINS	CDS	104065	104283	0.000	.	Node_143	Node_142	658.632674	4	['mada_1-36', 'mada_117', 'mada_1-39', 'mada_107', 'mada_2-46', 'mada_1-44', 'mada_1-1', 'mada_1-51', 'mada_122']	104064	104173.5	lineage1	Rv0094c	Rv0094c	False	False	True	False	Event_016	219	2	1	1	1
NC_000962.3	GUBBINS	CDS	104276	105063	0.000	.	Node_64	TB3251	2212.005781	16	['TB3251']	104275	104669.0	lineage4	Rv0094c,Rv0095c	Rv0094c,Rv0095c	False	False	True	False	Event_017	788	2	1	1	1
NC_000962.3	GUBBINS	CDS	104767	104824	0.000	.	Node_28	R15311	622.885743	14	['R15311']	104766	104795.0	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_018	58	2	1	1	1
NC_000962.3	GUBBINS	CDS	104767	104838	0.000	.	Node_20	R21770	693.527123	16	['R21770']	104766	104802.0	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_019	72	2	1	1	1
NC_000962.3	GUBBINS	CDS	104767	104858	0.000	.	Node_41	Node_40	736.547601	17	['S0123-01', 'S0262-02']	104766	104812.0	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_020	92	2	1	1	1
NC_000962.3	GUBBINS	CDS	104767	105011	0.000	.	Node_144	mada_1-10	1639.616511	18	['mada_1-10']	104766	104888.5	lineage1	Rv0095c	Rv0095c	False	False	True	False	Event_021	245	2	1	1	1
NC_000962.3	GUBBINS	CDS	104767	105011	0.000	.	Node_53	mada_123	756.155351	29	['mada_123']	104766	104888.5	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_022	245	2	1	1	1
NC_000962.3	GUBBINS	CDS	104767	105045	0.000	.	Node_132	Node_131	1524.899526	25	['R21893', 'R30420', 'R32929', 'R26778', 'R23146', 'R28980', 'R21408', 'R20574', 'R20260', 'R26791', 'R27725', 'R18043', 'R18040', 'R27937', 'R22601', '18_0621851', 'N0155', 'mada_1-11', 'N0145', 'S0085-01', 'S0089-01', 'S0107-01', 'R29598', 'R24100', 'R28581', 'S0256-08', 'R37765', 'M0003941_3', 'mada_115', 'mada_2-42', 'TB2995', 'TB2512', 'TB2981', '706-05', 'TB3113', 'S0070-08', 'R29816', 'R36431', 'R24120', 'R28703', 'R30234', 'R31095', 'R30078', 'R28012', 'R27657', 'R30215', 'R25048', 'TB2780', 'TB3368', '8129-04', 'TB1236', 'TB2659', 'TB1612', 'TB3396', '4549-04', '696-05', '8651-04', 'TB3091', '702-06', '9050-05', '3003-06']	104766	104905.5	lineage2	Rv0095c	Rv0095c	False	False	True	False	Event_023	279	2	1	1	1
NC_000962.3	GUBBINS	CDS	104771	104817	0.000	.	Node_138	mada_1-1	565.586723	12	['mada_1-1']	104770	104793.5	lineage1	Rv0095c	Rv0095c	False	False	True	False	Event_024	47	2	1	1	1
NC_000962.3	GUBBINS	CDS	104782	104943	0.000	.	Node_90	Node_88	91.192809	4	['S0107-01', 'R29598', 'R24100']	104781	104862.0	lineage2	Rv0095c	Rv0095c	False	False	True	False	Event_025	162	2	1	1	1
NC_000962.3	GUBBINS	CDS	104782	104962	0.000	.	Node_59	01_R1134	1714.354684	7	['01_R1134']	104781	104871.5	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_026	181	2	1	1	1
NC_000962.3	GUBBINS	CDS	104915	104944	0.000	.	Node_46	TB4620	1000.992789	6	['TB4620']	104914	104929.0	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_027	30	2	1	1	1
NC_000962.3	GUBBINS	CDS	104915	105045	0.000	.	Node_36	Node_35	599.300815	8	['02_R1179', 'TB3162', 'TB2661', 'TB3386', 'M0010874_7', 'QC-7', 'QC-6', 'QC-1']	104914	104979.5	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_028	131	2	1	1	1
NC_000962.3	GUBBINS	CDS	104944	105050	0.000	.	Node_62	Node_45	862.45941	4	['01_R1430', 'M0011368_9', 'mada_103', 'mada_112', 'mada_124', 'S0123-01', 'S0262-02', '02_R1896', 'mada_2-25', 'TB3237']	104943	104996.5	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_029	107	2	1	1	1
NC_000962.3	GUBBINS	CDS	104962	105063	0.000	.	Node_22	Node_21	697.892208	4	['R30396', 'R20896']	104961	105012.0	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_030	102	2	1	1	1
NC_000962.3	GUBBINS	CDS	105021	105063	0.000	.	Node_50	Node_49	204.548917	4	['mada_1-53', 'mada_2-53']	105020	105041.5	lineage4	Rv0095c	Rv0095c	False	False	True	False	Event_031	43	2	1	1	1
NC_000962.3	GUBBINS	CDS	150327	150338	0.000	.	Node_25	Node_24	729.76606	6	['S0106-01', 'R21770', 'R21839', 'R21363', 'mada_1-32', 'R30396', 'R20896']	150326	150332.0	lineage4	PE_PGRS2	Rv0124	False	True	False	False	Event_032	12	0	0	0	0
NC_000962.3	GUBBINS	CDS	332726	332916	0.000	.	Node_17	TB3334	946.59072	4	['TB3334']	332725	332820.5	lineage4	vapC25	Rv0277c	False	False	False	True	Event_033	191	1	1	1	1
NC_000962.3	GUBBINS	CDS	332726	333086	0.000	.	Node_144	mada_1-10	1590.558219	10	['mada_1-10']	332725	332905.5	lineage1	vapC25	Rv0277c	False	False	False	True	Event_034	361	1	1	1	1
NC_000962.3	GUBBINS	CDS	333406	333441	0.000	.	Node_34	M0010874_7	612.115174	7	['M0010874_7']	333405	333423.0	lineage4	vapB25,PE_PGRS3	Rv0277A,Rv0278c	False	True	False	False	Event_035	36	1	1	1	1
NC_000962.3	GUBBINS	CDS	334552	334577	0.000	.	Node_15	Node_14	610.509286	6	['02_R1708', '02_R0894']	334551	334564.0	lineage4	PE_PGRS3	Rv0278c	False	True	False	False	Event_036	26	4	1	1	1
NC_000962.3	GUBBINS	CDS	338618	338792	0.000	.	Node_65	Node_27	522.375645	5	['mada_2-31', 'mada_1-41', 'MT_0080', 'mada_102', 'TB3334', 'mada_105', 'TB3169', 'M0014888_3', 'mada_151', 'mada_129', 'QC-4', 'QC-8', 'QC-10', '02_R1708', '02_R0894', 'mada_139', 'M0017522_5', 'S0106-01', 'R21770', 'R21839', 'R21363', 'mada_1-32', 'R30396', 'R20896']	338617	338704.5	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_037	175	2	1	1	1
NC_000962.3	GUBBINS	CDS	338648	338692	0.000	.	Node_71	Node_70	725.891916	7	['N0054', 'QC-3', 'QC-9', 'QC-5', 'N0004', 'mada_1-30']	338647	338669.5	lineage3	PE_PGRS4	Rv0279c	False	True	False	False	Event_038	45	2	1	1	1
NC_000962.3	GUBBINS	CDS	338719	338837	0.000	.	Node_30	TB3162	379.336794	13	['TB3162']	338718	338777.5	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_039	119	2	1	1	1
NC_000962.3	GUBBINS	CDS	338719	338837	0.000	.	Node_6	MT_0080	869.760686	6	['MT_0080']	338718	338777.5	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_040	119	2	1	1	1
NC_000962.3	GUBBINS	CDS	338719	338984	0.000	.	Node_25	M0017522_5	1554.085367	18	['M0017522_5']	338718	338851.0	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_041	266	2	1	1	1
NC_000962.3	GUBBINS	CDS	338768	338903	0.000	.	Node_27	Node_5	1630.581177	6	['mada_2-31', 'mada_1-41']	338767	338835.0	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_042	136	2	1	1	1
NC_000962.3	GUBBINS	CDS	338789	338837	0.000	.	Node_138	mada_1-1	463.485159	5	['mada_1-1']	338788	338812.5	lineage1	PE_PGRS4	Rv0279c	False	True	False	False	Event_043	49	2	1	1	1
NC_000962.3	GUBBINS	CDS	338844	338903	0.000	.	Node_53	Node_52	105.775287	4	['R23571', 'mada_2-1', 'mada_1-50', 'mada_1-53', 'mada_2-53']	338843	338873.0	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_044	60	2	1	1	1
NC_000962.3	GUBBINS	CDS	338844	338963	0.000	.	Node_54	mada_1-12	605.716191	6	['mada_1-12']	338843	338903.0	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_045	120	2	1	1	1
NC_000962.3	GUBBINS	CDS	338984	338998	0.000	.	Node_36	Node_35	571.550662	4	['02_R1179', 'TB3162', 'TB2661', 'TB3386', 'M0010874_7', 'QC-7', 'QC-6', 'QC-1']	338983	338990.5	lineage4	PE_PGRS4	Rv0279c	False	True	False	False	Event_046	15	2	1	1	1
NC_000962.3	GUBBINS	CDS	473767	473971	0.000	.	Node_134	R27252	2090.86106	6	['R27252']	473766	473868.5	lineage1	Rv0393	Rv0393	False	False	True	False	Event_047	205	1	1	1	1
NC_000962.3	GUBBINS	CDS	473822	473971	0.000	.	Node_60	Node_48	278.500441	5	['TB3054', 'mada_126', 'mada_120']	473821	473896.0	lineage4	Rv0393	Rv0393	False	False	True	False	Event_048	150	1	1	1	1
NC_000962.3	GUBBINS	CDS	475833	475971	0.000	.	Node_41	Node_40	648.389372	7	['S0123-01', 'S0262-02']	475832	475901.5	lineage4	Rv0397	Rv0397	False	False	False	True	Event_049	139	1	1	1	1
NC_000962.3	GUBBINS	CDS	475959	476054	0.000	.	Node_4	Node_3	3238.214777	10	['N1177', 'N1202', 'N0091']	475958	476006.0	lineage6	Rv0397	Rv0397	False	False	False	True	Event_050	96	1	1	1	1
NC_000962.3	GUBBINS	CDS	531580	531595	0.000	.	Node_41	Node_40	617.781169	5	['S0123-01', 'S0262-02']	531579	531587.0	lineage4	PPE10	Rv0442c	False	True	False	False	Event_051	16	0	0	0	0
NC_000962.3	GUBBINS	CDS	531622	531631	0.000	.	Node_57	Node_56	435.671253	4	['mada_123', 'R23571', 'mada_2-1', 'mada_1-50', 'mada_1-53', 'mada_2-53', 'mada_1-12', 'mada_128', 'mada_1-15']	531621	531626.0	lineage4	PPE10	Rv0442c	False	True	False	False	Event_052	10	0	0	0	0
NC_000962.3	GUBBINS	CDS	623260	623279	0.000	.	Node_4	Node_1	3464.693255	5	['N1272', 'N1176']	623259	623269.0	lineage5	PE_PGRS6	Rv0532	False	True	False	False	Event_053	20	0	0	0	0
NC_000962.3	GUBBINS	CDS	623260	623279	0.000	.	Node_69	Node_67	972.830205	4	['QC-3', 'QC-9', 'QC-5']	623259	623269.0	lineage3	PE_PGRS6	Rv0532	False	True	False	False	Event_054	20	0	0	0	0
NC_000962.3	GUBBINS	CDS	837497	837508	0.000	.	Node_134	R23887	2050.445707	4	['R23887']	837496	837502.0	lineage1	PE_PGRS9	Rv0746	False	True	False	False	Event_055	12	1	1	0	0
NC_000962.3	GUBBINS	CDS	838643	838702	0.000	.	Node_146	N0153	2031.217925	18	['N0153']	838642	838672.0	lineage1	PE_PGRS10	Rv0747	False	True	False	False	Event_056	60	4	1	1	1
NC_000962.3	GUBBINS	CDS	839098	839291	0.000	.	Node_4	Node_3	3211.012559	7	['N1177', 'N1202', 'N0091']	839097	839194.0	lineage6	PE_PGRS10	Rv0747	False	True	False	False	Event_057	194	7	1	1	1
NC_000962.3	GUBBINS	CDS	839251	839291	0.000	.	Node_144	mada_1-10	1511.404547	5	['mada_1-10']	839250	839270.5	lineage1	PE_PGRS10	Rv0747	False	True	False	False	Event_058	41	7	1	1	1
NC_000962.3	GUBBINS	CDS	841377	841651	0.000	.	Node_27	Node_5	1591.478718	6	['mada_2-31', 'mada_1-41']	841376	841513.5	lineage4	vapC31	Rv0749	False	False	False	True	Event_059	275	1	1	1	1
NC_000962.3	GUBBINS	CDS	841377	841651	0.000	.	Node_53	mada_123	691.198422	10	['mada_123']	841376	841513.5	lineage4	vapC31	Rv0749	False	False	False	True	Event_060	275	1	1	1	1
NC_000962.3	GUBBINS	CDS	842026	842111	0.000	.	Node_17	TB3334	1025.223997	10	['TB3334']	842025	842068.0	lineage4	Rv0750	Rv0750	False	False	False	True	Event_061	86	1	1	1	1
NC_000962.3	GUBBINS	CDS	842051	842065	0.000	.	Node_64	TB3251	2083.211646	6	['TB3251']	842050	842057.5	lineage4	Rv0750	Rv0750	False	False	False	True	Event_062	15	1	1	1	1
NC_000962.3	GUBBINS	CDS	842051	842111	0.000	.	Node_89	S0256-08	124.943606	7	['S0256-08']	842050	842080.5	lineage2	Rv0750	Rv0750	False	False	False	True	Event_063	61	1	1	1	1
NC_000962.3	GUBBINS	CDS	921813	921861	0.000	.	Node_149	RW-TB008	4400.769124	5	['RW-TB008']	921812	921836.5	lineage8	Rv0829	Rv0829	False	False	False	True	Event_064	49	4	1	1	1
NC_000962.3	GUBBINS	CDS	921813	921861	0.000	.	Node_27	Node_5	1552.057887	4	['mada_2-31', 'mada_1-41']	921812	921836.5	lineage4	Rv0829	Rv0829	False	False	False	True	Event_065	49	4	1	1	1
NC_000962.3	GUBBINS	CDS	925786	925801	0.000	.	Node_143	mada_118	1258.587675	4	['mada_118']	925785	925793.0	lineage1	PE_PGRS13	Rv0833	False	True	False	False	Event_066	16	4	1	1	1
NC_000962.3	GUBBINS	CDS	1094140	1094415	0.000	.	Node_148	Node_133	1606.178382	5	['mada_2-31', 'mada_1-41', 'MT_0080', 'mada_102', 'TB3334', 'mada_105', 'TB3169', 'M0014888_3', 'mada_151', 'mada_129', 'QC-4', 'QC-8', 'QC-10', '02_R1708', '02_R0894', 'mada_139', 'M0017522_5', 'S0106-01', 'R21770', 'R21839', 'R21363', 'mada_1-32', 'R30396', 'R20896', 'TB3251', 'M0016395_7', 'R15311', '02_R1179', 'TB3162', 'TB2661', 'TB3386', 'M0010874_7', 'QC-7', 'QC-6', 'QC-1', '01_R1430', 'M0011368_9', 'mada_103', 'mada_112', 'mada_124', 'S0123-01', 'S0262-02', '02_R1896', 'mada_2-25', 'TB3237', 'TB4620', 'M0016737_0', 'TB3054', 'mada_126', 'mada_120', '01_R1134', 'mada_1-38', 'TB2968', 'mada_123', 'R23571', 'mada_2-1', 'mada_1-50', 'mada_1-53', 'mada_2-53', 'mada_1-12', 'mada_128', 'mada_1-15', 'N1274', 'N0054', 'QC-3', 'QC-9', 'QC-5', 'N0004', 'mada_1-30', 'R21893', 'R30420', 'R32929', 'R26778', 'R23146', 'R28980', 'R21408', 'R20574', 'R20260', 'R26791', 'R27725', 'R18043', 'R18040', 'R27937', 'R22601', '18_0621851', 'N0155', 'mada_1-11', 'N0145', 'S0085-01', 'S0089-01', 'S0107-01', 'R29598', 'R24100', 'R28581', 'S0256-08', 'R37765', 'M0003941_3', 'mada_115', 'mada_2-42', 'TB2995', 'TB2512', 'TB2981', '706-05', 'TB3113', 'S0070-08', 'R29816', 'R36431', 'R24120', 'R28703', 'R30234', 'R31095', 'R30078', 'R28012', 'R27657', 'R30215', 'R25048', 'TB2780', 'TB3368', '8129-04', 'TB1236', 'TB2659', 'TB1612', 'TB3396', '4549-04', '696-05', '8651-04', 'TB3091', '702-06', '9050-05', '3003-06']	1094139	1094277.0	None	PE_PGRS17	Rv0978c	False	True	False	False	Event_067	276	2	1	1	1
NC_000962.3	GUBBINS	CDS	1094140	1094472	0.000	.	Node_71	N1274	1385.212886	6	['N1274']	1094139	1094305.5	lineage3	PE_PGRS17	Rv0978c	False	True	False	False	Event_068	333	2	1	1	1
NC_000962.3	GUBBINS	CDS	1094303	1094538	0.000	.	Node_145	Node_144	234.617637	5	['mada_1-10', 'mada_118', 'mada_1-36', 'mada_117', 'mada_1-39', 'mada_107', 'mada_2-46', 'mada_1-44', 'mada_1-1', 'mada_1-51', 'mada_122']	1094302	1094420.0	lineage1	PE_PGRS17	Rv0978c	False	True	False	False	Event_069	236	2	1	1	1
NC_000962.3	GUBBINS	CDS	1094303	1094538	0.000	.	Node_57	TB2968	979.09263	5	['TB2968']	1094302	1094420.0	lineage4	PE_PGRS17	Rv0978c	False	True	False	False	Event_070	236	2	1	1	1
NC_000962.3	GUBBINS	CDS	1095338	1095525	0.000	.	Node_25	M0017522_5	1434.295216	13	['M0017522_5']	1095337	1095431.0	lineage4	PE_PGRS18	Rv0980c	False	True	False	False	Event_071	188	1	1	1	1
NC_000962.3	GUBBINS	CDS	1095850	1095855	0.000	.	Node_146	N0153	1980.633567	4	['N0153']	1095849	1095852.0	lineage1	PE_PGRS18	Rv0980c	False	True	False	False	Event_072	6	2	1	1	1
NC_000962.3	GUBBINS	CDS	1095942	1096023	0.000	.	Node_65	Node_27	546.026328	7	['mada_2-31', 'mada_1-41', 'MT_0080', 'mada_102', 'TB3334', 'mada_105', 'TB3169', 'M0014888_3', 'mada_151', 'mada_129', 'QC-4', 'QC-8', 'QC-10', '02_R1708', '02_R0894', 'mada_139', 'M0017522_5', 'S0106-01', 'R21770', 'R21839', 'R21363', 'mada_1-32', 'R30396', 'R20896']	1095941	1095982.0	lineage4	PE_PGRS18	Rv0980c	False	True	False	False	Event_073	82	2	1	1	1
NC_000962.3	GUBBINS	CDS	1095942	1096508	0.000	.	Node_33	QC-7	453.044581	9	['QC-7']	1095941	1096224.5	lineage4	PE_PGRS18	Rv0980c	False	True	False	False	Event_074	567	2	1	1	1
NC_000962.3	GUBBINS	CDS	1095981	1096323	0.000	.	Node_1	N1272	1012.661678	4	['N1272']	1095980	1096151.5	lineage5	PE_PGRS18	Rv0980c	False	True	False	False	Event_075	343	2	1	1	1
NC_000962.3	GUBBINS	CDS	1095981	1096567	0.000	.	Node_148	Node_147	2414.268739	7	['R27252', 'R23887', 'N0153', 'N0072', 'mada_1-10', 'mada_118', 'mada_1-36', 'mada_117', 'mada_1-39', 'mada_107', 'mada_2-46', 'mada_1-44', 'mada_1-1', 'mada_1-51', 'mada_122']	1095980	1096273.5	lineage1	PE_PGRS18	Rv0980c	False	True	False	False	Event_076	587	2	1	1	1
NC_000962.3	GUBBINS	CDS	1096205	1096510	0.000	.	Node_63	Node_36	716.875948	6	['M0016395_7', 'R15311', '02_R1179', 'TB3162', 'TB2661', 'TB3386', 'M0010874_7', 'QC-7', 'QC-6', 'QC-1']	1096204	1096357.0	lineage4	PE_PGRS18	Rv0980c	False	True	False	False	Event_077	306	2	1	1	1
NC_000962.3	GUBBINS	CDS	1096235	1096510	0.000	.	Node_131	Node_130	1029.55034	4	['18_0621851', 'N0155', 'mada_1-11', 'N0145', 'S0085-01', 'S0089-01', 'S0107-01', 'R29598', 'R24100', 'R28581', 'S0256-08', 'R37765', 'M0003941_3', 'mada_115', 'mada_2-42', 'TB2995', 'TB2512', 'TB2981', '706-05', 'TB3113', 'S0070-08', 'R29816', 'R36431', 'R24120', 'R28703', 'R30234', 'R31095', 'R30078', 'R28012', 'R27657', 'R30215', 'R25048', 'TB2780', 'TB3368', '8129-04', 'TB1236', 'TB2659', 'TB1612', 'TB3396', '4549-04', '696-05', '8651-04', 'TB3091', '702-06', '9050-05', '3003-06']	1096234	1096372.0	lineage2	PE_PGRS18	Rv0980c	False	True	False	False	Event_078	276	2	1	1	1
NC_000962.3	GUBBINS	CDS	1096665	1096671	0.000	.	Node_71	N1274	1415.473198	4	['N1274']	1096664	1096667.5	lineage3	None	None	False	False	False	True	Event_079	7	2	1	1	1
NC_000962.3	GUBBINS	CDS	1212095	1212130	0.000	.	Node_149	RW-TB008	4559.290871	6	['RW-TB008']	1212094	1212112.0	lineage8	PE_PGRS21	Rv1087	False	True	False	False	Event_080	36	1	1	1	1
NC_000962.3	GUBBINS	CDS	1213371	1213388	0.000	.	Node_149	RW-TB008	4484.833694	5	['RW-TB008']	1213370	1213379.0	lineage8	PE_PGRS21	Rv1087	False	True	False	False	Event_081	18	0	0	0	0
NC_000962.3	GUBBINS	CDS	1217966	1217980	0.000	.	Node_101	706-05	135.457249	5	['706-05']	1217965	1217972.5	lineage2	PE_PGRS22	Rv1091	False	True	False	False	Event_082	15	2	1	0	0
NC_000962.3	GUBBINS	CDS	1263088	1263123	0.000	.	Node_24	S0106-01	640.497945	9	['S0106-01']	1263087	1263105.0	lineage4	PPE16	Rv1135c	False	True	False	False	Event_083	36	1	1	0	0
NC_000962.3	GUBBINS	CDS	1276321	1276432	0.000	.	Node_57	TB2968	958.694897	4	['TB2968']	1276320	1276376.0	lineage4	Rv1148c	Rv1148c	False	False	True	False	Event_084	112	1	1	1	1
NC_000962.3	GUBBINS	CDS	1276321	1276885	0.000	.	Node_17	Node_16	672.674762	45	['mada_105', 'TB3169', 'M0014888_3', 'mada_151', 'mada_129', 'QC-4', 'QC-8', 'QC-10', '02_R1708', '02_R0894', 'mada_139']	1276320	1276602.5	lineage4	Rv1148c	Rv1148c	False	False	True	False	Event_085	565	1	1	1	1
NC_000962.3	GUBBINS	CDS	1276375	1276822	0.000	.	Node_127	Node_113	428.585991	26	['R30215', 'R25048']	1276374	1276598.0	lineage2	Rv1148c	Rv1148c	False	False	True	False	Event_086	448	1	1	1	1
NC_000962.3	GUBBINS	CDS	1276448	1276938	0.000	.	Node_149	RW-TB008	4429.585352	8	['RW-TB008']	1276447	1276692.5	lineage8	Rv1148c	Rv1148c	False	False	True	False	Event_087	491	1	1	1	1
NC_000962.3	GUBBINS	CDS	1276683	1276885	0.000	.	Node_22	mada_1-32	622.337543	29	['mada_1-32']	1276682	1276783.5	lineage4	Rv1148c	Rv1148c	False	False	True	False	Event_088	203	1	1	1	1
NC_000962.3	GUBBINS	CDS	1276771	1276885	0.000	.	Node_68	N0004	951.690133	26	['N0004']	1276770	1276827.5	lineage3	Rv1148c	Rv1148c	False	False	True	False	Event_089	115	1	1	1	1
